year,mnlegdist,s_mnlegdist_N_below_supply,s_mnlegdist_N_above_cost,s_mnlegdist_N_below_quality
2012,52B,.57209301,.99534881,
2013,52B,.72093022,.99534881,.40697673
2015,52B,.81860465,.98139536,.30465117
2015,53A,.5390476,1,.77714288
2016,53A,.42285714,1,.82666665
2014,53A,.61142856,1,.62095237
2012,53A,.62857145,.99809521,
2013,53A,.67238092,.9942857,.80571431
2017,53A,.39619046,.99809521,.74095237
2018,53A,.4552381,.96952379,.64761907
2014,53B,.5735786,.99331105,.4632107
2013,53B,.56020069,.9882943,.57023412
2017,53B,.47658864,.9882943,.5250836
2012,53B,.54347825,.98996657,
2018,53B,.45484951,.97826087,.54013377
2015,53B,.63210702,.99163878,.37792641
2016,53B,.55351168,.9882943,.53344482
2012,54A,.64285713,.76578075,
2013,54A,.74252492,.69601327,.28903654
2015,54A,.73754156,.60132891,.11960133
2017,54A,.64784056,.0066445181,.12624584
2018,54A,.7192691,.19435216,.04152824
2016,54A,.63289034,.014950166,.20431894
2014,54A,.76578075,.64451826,.1295681
2013,54B,.46875,.77644229,.53365386
2012,54B,.34855768,.85817307,
2017,54B,.45673078,.59615386,.38461539
2018,54B,.4375,.61057693,.42548078
2014,54B,.43028846,.68509614,.48798078
2016,54B,.39182693,.57692307,.57451922
2015,54B,.49038461,.64903843,.45673078
2015,55A,.62446046,.97553957,.023021583
2017,55A,.63453239,.98129499,.021582734
2016,55A,.53237408,.98129499,.018705036
2012,55A,.38273382,.98848921,
2018,55A,.505036,.98129499,.031654675
2014,55A,.57410073,.98417264,.023021583
2013,55A,.46043167,.97697842,.02733813
2017,55B,.54379565,.72627735,.18430656
2012,55B,.49270073,.75547445,
2013,55B,.48175183,.83759123,.15693431
2016,55B,.59306568,.67153287,.1350365
2014,55B,.53467155,.7609489,.1040146
2015,55B,.54744524,.80656934,.1149635
2018,55B,.47627738,.5109489,.2080292
2012,56A,.26366559,1,
2013,56A,.28456593,1,.56270099
2017,56A,.38906753,1,.15434083
2016,56A,.36495176,1,.27652735
2018,56A,.34405145,1,.19935691
2014,56A,.38424438,1,.35530546
